mean_elevation (m),mean_slope,mean_precipitation (mm),imperviousness,"flooded (yes =1, no =0)",distance_to_drainage (m)
9.5,3.34,21.94,29,0,450.17
9.27,3.54,21.94,45,0,377.57
9.5,3.24,17.01,24,0,400.43
8.79,3.27,20.56,39,0,618.54
9.25,2.76,21.94,24,0,654.69
5.56,3.51,11.61,49,0,9.68
4.75,4.99,11.61,46,0,120.97
9.08,5.01,11.61,116,0,77.41
9.07,5.99,11.61,49,0,10.9
7.74,3.55,11.61,53,0,152.55
5,5.15,11.61,165,0,16.87
4.9,3.34,11.61,32,0,7.46
9.26,2.97,11.61,124,0,251.17
7.3,3.64,11.61,29,0,78.08
8.29,2.82,20.56,35,0,405.39
9.07,3.34,11.61,43,0,254.05
7.58,4.17,11.61,128,0,170.68
7.62,3.97,11.61,30,0,13.86
8.9,2.86,11.61,25,0,522.36
8.88,4.32,11.61,51,0,13.86
9.95,3.45,11.61,103,0,60.4
4.73,5.5,11.61,12,0,4.58
8.4,3.2,11.61,57,0,259.81
4.65,6.53,11.61,58,0,79.52
8.76,3.7,11.61,73,0,149.59
8.98,3.67,21.98,67,0,248.93
30.82,7.37,28.99,2,0,2.43
9.73,5.19,13.21,24,0,95.98
28.71,10.06,18.21,15,0,12.12
36.93,10.21,27.35,0,0,0
33.6,8.3,16.08,0,0,0
9.69,3.69,21.94,82,0,418.31
9.64,4.47,18.18,65,0,221.89
6,4.22,21.94,26,0,283.63
6.41,4.13,18.18,56,0,0
12,3.67,25.7,2,0,130.21
4.59,3.53,18.18,44,0,5.04
11.38,3.89,18.18,70,0,251.8
19.6,7.37,25.7,13,0,804.39
4.75,1.7,21.94,11,0,129.53
9.21,3.64,25.7,81,0,10.26
2.75,3.61,18.18,50,0,37.71
17,7,25.7,4,0,369.65
16.89,7.37,20.98,81,0,36.36
5.2,8.86,13.21,10,0,0
5.19,1.92,13.21,74,0,98.72
1.19,2.34,13.07,11,1,0
3.18,2.72,20.83,109,0,0
7.46,3.79,11.61,16,0,189.86
6.53,3.52,11.61,32,0,114.01
7.24,3.44,11.61,16,0,209.78
6.23,3.03,11.61,0,0,26.26
5.74,3.62,11.61,43,0,371.52
22.79,9.86,17.42,0,0,72.95
22.99,8.72,19.28,1,0,154.22
34,5.66,19.28,7,0,173.94
34.2,12.03,19.28,0,0,10.13
55.79,11.58,34.57,0,0,0
77.3,9.53,28.73,0,0,789.84
52.69,12.58,31.65,0,0,0
8.21,4.5,17.01,27,0,80.97
5.7,4.22,21.94,147,1,435.9
20.92,9.2,24.61,60,0,389.17
6,3.52,21.94,21,0,367.79
8.89,3.97,16.09,68,0,305
5.21,4.9,11.61,96,0,1.55
3.34,4.48,10.33,6,1,79.06
2,2.19,0,0,1,52.77
11.63,3.29,13.04,43,0,0
7,2.95,12.58,0,0,80.31
6.67,5.99,12.58,0,0,0
